name,multiverse_id,layout,names,mana_cost,cmc,colors,color_identity,type,supertypes,subtypes,rarity,text,flavor,artist,number,power,toughness,loyalty,variations
Underworld Dreams,129779,normal,,{B}{B}{B},3,['B'],['B'],Enchantment,,,Rare,"Whenever an opponent draws a card, Underworld Dreams deals 1 damage to that player.","""In the drowsy dark cave of the mind, dreams build their nest with fragments dropped from day's caravan.""
—Rabindranath Tagore",Carl Critchlow,184,,,,
Unholy Strength,129780,normal,,{B},1,['B'],['B'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature gets +2/+1.",Such power grows the body as it shrinks the soul.,Terese Nielsen,185,,,,['27d4596d-3c6c-5d6e-a978-424044a468d4']
Unholy Strength,,normal,,{B},1,['B'],['B'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature gets +2/+1.",Such power grows the body as it shrinks the soul.,Terese Nielsen,185★,,,,['53d6532f-43a4-5c01-891c-3ff67a49d290']
Vampire Bats,135195,normal,,{B},1,['B'],['B'],Creature — Bat,,['Bat'],Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.",,Chippy,186,0,1,,['e65aae37-20bc-5499-aee4-c1f30832f7b0']
Vampire Bats,,normal,,{B},1,['B'],['B'],Creature — Bat,,['Bat'],Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.",,Chippy,186★,0,1,,['4c9c45db-116c-59e0-a708-d471e38c6361']
Anaba Bodyguard,134753,normal,,{3}{R},4,['R'],['R'],Creature — Minotaur,,['Minotaur'],Common,First strike (This creature deals combat damage before creatures without first strike.),"""They who challenge a minotaur enjoy the taste of their own blood.""
—Mirri of the *Weatherlight*",Greg Staples,187,2,3,,['08099cff-a271-54f1-942e-2fe7101c7bac']
Anaba Bodyguard,,normal,,{3}{R},4,['R'],['R'],Creature — Minotaur,,['Minotaur'],Common,First strike (This creature deals combat damage before creatures without first strike.),"""They who challenge a minotaur enjoy the taste of their own blood.""
—Mirri of the *Weatherlight*",Greg Staples,187★,2,3,,['5119e249-f9be-56b3-9deb-72d7cba52ea8']
Arcane Teachings,130530,normal,,{2}{R},3,['R'],['R'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to any target.""",,Dan Dos Santos,188,,,,['66cdbfaf-8bc2-5313-9c5c-7d422d2e4b0a']
Arcane Teachings,,normal,,{2}{R},3,['R'],['R'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to any target.""",Not all knowledge is learned from parchment.,Dan Dos Santos,188★,,,,['f6226c44-1f81-530a-9dda-8a63b412c727']
Beacon of Destruction,135262,normal,,{3}{R}{R},5,['R'],['R'],Instant,,,Rare,Beacon of Destruction deals 5 damage to any target. Shuffle Beacon of Destruction into its owner's library.,"The Great Furnace's blessing is a spectacular sight, but the best view comes at a high cost.",Greg Hildebrandt,189,,,,
Blaze,129484,normal,,{X}{R},1,['R'],['R'],Sorcery,,,Uncommon,Blaze deals X damage to any target.,,Alex Horley-Orlandelli,190,,,,
Bloodfire Colossus,129709,normal,,{6}{R}{R},8,['R'],['R'],Creature — Giant,,['Giant'],Rare,"{R}, Sacrifice Bloodfire Colossus: It deals 6 damage to each creature and each player.",It took all its strength to contain the fire within.,Greg Staples,191,6,6,,
Bloodrock Cyclops,130384,normal,,{2}{R},3,['R'],['R'],Creature — Cyclops,,['Cyclops'],Common,Bloodrock Cyclops attacks each combat if able.,"""There are only fifty words in the cyclops language, and ten of them mean 'kill.'""
—Ertai",Alex Horley-Orlandelli,192,3,3,,
Bogardan Firefiend,130534,normal,,{2}{R},3,['R'],['R'],Creature — Elemental Spirit,,"['Elemental', 'Spirit']",Common,"When Bogardan Firefiend dies, it deals 2 damage to target creature.","""The next one who tells me to relax and curl up by a fire is dead.""
—Mirri of the *Weatherlight*",Terese Nielsen,193,2,1,,
Cone of Flame,130535,normal,,{3}{R}{R},5,['R'],['R'],Sorcery,,,Uncommon,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target.",,Chippy,194,,,,
Cryoclasm,129909,normal,,{2}{R},3,['R'],['R'],Sorcery,,,Uncommon,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.,The people of Terisiare had come to live on frozen fields as though on solid ground. Nothing reminded them of the difference more clearly than the rifts brought on by the Thaw.,Zoltan Boros & Gabor Szikszai,195,,,,
Demolish,129522,normal,,{3}{R},4,['R'],['R'],Sorcery,,,Common,Destroy target artifact or land.,"""Pound the steel until it fits. Doesn't work? Bash to bits.""
—Dwarven forging song",Gary Ruddell,196,,,,
Dragon Roost,143024,normal,,{4}{R}{R},6,['R'],['R'],Enchantment,,,Rare,{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.),Dragons erupt from peaks of chaos and flow from rivers of molten rage.,Jim Pavelec,197,,,,['6bb35d3c-20f6-5e0e-aea9-cffbef432373']
Dragon Roost,,normal,,{4}{R}{R},6,['R'],['R'],Enchantment,,,Rare,{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.),Dragons erupt from peaks of chaos and flow from rivers of molten rage.,Jim Pavelec,197★,,,,['890a9b49-9cea-500c-80c2-220e38b661fe']
Duct Crawler,129579,normal,,{R},1,['R'],['R'],Creature — Insect,,['Insect'],Common,{1}{R}: Target creature can't block Duct Crawler this turn.,"""Boss told us to try and train 'em. Trained it to attack—it ate Flugg. Trained it to run fast—it got away. Success!""
—Dlig, goblin spelunker",Stephen Daniele,198,1,1,,
Earth Elemental,129554,normal,,{3}{R}{R},5,['R'],['R'],Creature — Elemental,,['Elemental'],Uncommon,,"Earth elementals have the eternal strength of stone and the endurance of mountains. Primordially connected to the land they inhabit, they take a long-term view of things, scorning the impetuous haste of short-lived mortal creatures.",Anthony S. Waters,199,4,5,,
Firebreathing,129548,normal,,{R},1,['R'],['R'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
{R}: Enchanted creature gets +1/+0 until end of turn.",,Aleksi Briclot,200,,,,['bf599cd8-8095-5725-bcca-244b9e69f5d0']
Firebreathing,,normal,,{R},1,['R'],['R'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
{R}: Enchanted creature gets +1/+0 until end of turn.","""Cradle your rage close to your heart and nurture your grudge with hatred that you may unleash upon your foes a dragon's fury.""
—Tomor, dragonspeaker shaman",Aleksi Briclot,200★,,,,['02aa05a4-ff94-5bda-8ad7-24f00bd19ec4']
Fists of the Anvil,130379,normal,,{1}{R},2,['R'],['R'],Instant,,,Common,Target creature gets +4/+0 until end of turn.,"Gron's mind reeled with possibilities, most of which are best left unmentioned.",Pete Venters,201,,,,
Flamewave Invoker,130378,normal,,{2}{R},3,['R'],['R'],Creature — Goblin Mutant,,"['Goblin', 'Mutant']",Uncommon,{7}{R}: Flamewave Invoker deals 5 damage to target player or planeswalker.,Inside even the humblest goblin lurks the potential for far greater things—and far worse.,Dave Dorman,202,2,2,,
Flowstone Slide,130542,normal,,{X}{2}{R}{R},4,['R'],['R'],Sorcery,,,Rare,All creatures get +X/-X until end of turn.,"""Like an avalanche. With teeth. That will chase you. Uphill.""
—Flint Foot, viashino runner",Chippy,203,,,,
Furnace of Rath,129566,normal,,{1}{R}{R}{R},4,['R'],['R'],Enchantment,,,Rare,"If a source would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",The furnace awaits the next master who would stoke the fires of apocalypse.,John Matson,204,,,,
Furnace Whelp,130386,normal,,{2}{R}{R},4,['R'],['R'],Creature — Dragon,,['Dragon'],Uncommon,"Flying
{R}: Furnace Whelp gets +1/+0 until end of turn.","Baby dragons can't figure out humans—if they didn't want to be killed, why were they made of meat and treasure?",Matt Cavotta,205,2,2,,['60d613d8-fd21-5d63-b920-75c0d3e12121']
Furnace Whelp,,normal,,{2}{R}{R},4,['R'],['R'],Creature — Dragon,,['Dragon'],Uncommon,"Flying
{R}: Furnace Whelp gets +1/+0 until end of turn.","Baby dragons can't figure out humans—if they didn't want to be killed, why were they made of meat and treasure?",Matt Cavotta,205★,2,2,,['b9abc758-c583-5d39-b761-9e83496927aa']
Goblin Elite Infantry,130380,normal,,{1}{R},2,['R'],['R'],Creature — Goblin Warrior,,"['Goblin', 'Warrior']",Common,"Whenever Goblin Elite Infantry blocks or becomes blocked, it gets -1/-1 until end of turn.",They talk a good fight.,Robert Bliss,206,2,2,,
Goblin King,129578,normal,,{1}{R}{R},3,['R'],['R'],Creature — Goblin,,['Goblin'],Rare,Other Goblins get +1/+1 and have mountainwalk.,"To be king, Numsgil did in Blog, who did in Unkful, who did in Viddle, who did in Loll, who did in Alrok. . . .",Ron Spears,207,2,2,,['e8650f78-41cc-562b-b18a-b20207d716e5']
Goblin King,,normal,,{1}{R}{R},3,['R'],['R'],Creature — Goblin,,['Goblin'],Rare,Other Goblins get +1/+1 and have mountainwalk.,"To be king, Numsgil did in Blog, who did in Unkful, who did in Viddle, who did in Loll, who did in Alrok. . . .",Ron Spears,207★,2,2,,['9075708d-9c83-519c-aa81-465d35078747']
Goblin Lore,135221,normal,,{1}{R},2,['R'],['R'],Sorcery,,,Uncommon,"Draw four cards, then discard three cards at random.","""Now listen closely, my young gob. There are many ways to eat pimple bugs, but I say the best way is all smashed together between two slug chips.""",D. Alexander Gregory,208,,,,
Goblin Piker,129580,normal,,{1}{R},2,['R'],['R'],Creature — Goblin Warrior,,"['Goblin', 'Warrior']",Common,,"Once he'd worked out which end of the thing was sharp, he was promoted to guard duty.",DiTerlizzi,209,2,1,,
Goblin Sky Raider,129582,normal,,{2}{R},3,['R'],['R'],Creature — Goblin Warrior,,"['Goblin', 'Warrior']",Common,Flying (This creature can't be blocked except by creatures with flying or reach.),"The goblin word for ""flying"" is more accurately translated as ""falling slowly.""",Daren Bader,210,1,2,,['edc4b78a-6130-5fd4-b5ff-c46850e2b957']
Goblin Sky Raider,,normal,,{2}{R},3,['R'],['R'],Creature — Goblin Warrior,,"['Goblin', 'Warrior']",Common,Flying (This creature can't be blocked except by creatures with flying or reach.),"The goblin word for ""flying"" is more accurately translated as ""falling slowly.""",Daren Bader,210★,1,2,,['bc3a62a0-3be0-553f-bf42-a10e954c815f']
Guerrilla Tactics,129588,normal,,{1}{R},2,['R'],['R'],Instant,,,Uncommon,"Guerrilla Tactics deals 2 damage to any target.
When a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to any target.",,Dave Dorman,211,,,,
Hill Giant,129591,normal,,{3}{R},4,['R'],['R'],Creature — Giant,,['Giant'],Common,,"Fortunately, hill giants have large blind spots in which a human can easily hide. Unfortunately, these blind spots are beneath the bottoms of their feet.",Kev Walker,212,3,3,,
Incinerate,134751,normal,,{1}{R},2,['R'],['R'],Instant,,,Common,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.,"""Yes, I think 'toast' is an appropriate description.""
—Jaya Ballard, task mage",Zoltan Boros & Gabor Szikszai,213,,,,
"Kamahl, Pit Fighter",106398,normal,,{4}{R}{R},6,['R'],['R'],Legendary Creature — Human Barbarian,['Legendary'],"['Human', 'Barbarian']",Rare,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Kamahl, Pit Fighter deals 3 damage to any target.","In times when freedom seems lost, great souls arise to reclaim it.",Kev Walker,214,6,1,,['d44d44ca-fa5a-59e7-8790-f9b107f6c2f7']
"Kamahl, Pit Fighter",,normal,,{4}{R}{R},6,['R'],['R'],Legendary Creature — Human Barbarian,['Legendary'],"['Human', 'Barbarian']",Rare,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Kamahl, Pit Fighter deals 3 damage to any target.","In times when freedom seems lost, great souls arise to reclaim it.",Kev Walker,214★,6,1,,['2b887770-1bb2-5ded-9340-1f703007efc5']
Lava Axe,129620,normal,,{4}{R},5,['R'],['R'],Sorcery,,,Common,Lava Axe deals 5 damage to target player or planeswalker.,"""Catch!""",Brian Snõddy,215,,,,
Lavaborn Muse,130373,normal,,{3}{R},4,['R'],['R'],Creature — Spirit,,['Spirit'],Rare,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Lavaborn Muse deals 3 damage to that player.","""Her voice is disaster, painful and final.""
—Matoc, lavamancer",Brian Snõddy,216,3,3,,
Lightning Elemental,129624,normal,,{3}{R},4,['R'],['R'],Creature — Elemental,,['Elemental'],Common,Haste (This creature can attack and {T} as soon as it comes under your control.),"""A flash of the lightning, a break of the wave,
He passes from life to his rest in the grave.""
—William Knox, ""Mortality""",Kev Walker,217,4,1,,['265e33a7-c32f-5177-8b16-8998931bc8a4']
Lightning Elemental,,normal,,{3}{R},4,['R'],['R'],Creature — Elemental,,['Elemental'],Common,Haste (This creature can attack and {T} as soon as it comes under your control.),"""A flash of the lightning, a break of the wave,
He passes from life to his rest in the grave.""
—William Knox, ""Mortality""",Kev Walker,217★,4,1,,['0c77c055-2d74-5328-b3b1-eb4f9e1ad63f']
Manabarbs,130367,normal,,{3}{R},4,['R'],['R'],Enchantment,,,Rare,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player.","""I don't know why people say a double-edged sword is bad. It's a sword. With two edges.""
—Kamahl, pit fighter",Jeff Miracola,218,,,,
Mogg Fanatic,134748,normal,,{R},1,['R'],['R'],Creature — Goblin,,['Goblin'],Uncommon,Sacrifice Mogg Fanatic: It deals 1 damage to any target.,"""I got it! I got it! I—""",Brom,219,1,1,,
Orcish Artillery,129663,normal,,{1}{R}{R},3,['R'],['R'],Creature — Orc Warrior,,"['Orc', 'Warrior']",Uncommon,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.,"""So they want to kill my men? Well two can play at that game.""
—General Khurzog",Jeff Miracola,220,1,3,,
Prodigal Pyromancer,134752,normal,,{2}{R},3,['R'],['R'],Creature — Human Wizard,,"['Human', 'Wizard']",Common,{T}: Prodigal Pyromancer deals 1 damage to any target.,"""What am I looking at? Ashes, dead man.""",Jeremy Jarvis,221,1,1,,
Pyroclasm,129801,normal,,{1}{R},2,['R'],['R'],Sorcery,,,Uncommon,Pyroclasm deals 2 damage to each creature.,"""When the air burns, only death breathes deep.""
—Bogardan mage",John Avon,222,,,,
Rage Weaver,130997,normal,,{1}{R},2,['R'],['R'],Creature — Human Wizard,,"['Human', 'Wizard']",Uncommon,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.),"""Let my passion spur your victory.""",John Matson,223,2,1,,['9e0f4c70-6db0-5798-8307-caf4f98f17f9']
Rage Weaver,,normal,,{1}{R},2,['R'],['R'],Creature — Human Wizard,,"['Human', 'Wizard']",Uncommon,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.),"""Let my passion spur your victory.""",John Matson,223★,2,1,,['6fd7afbb-7725-5f7a-91fe-cb578229971a']
Raging Goblin,129688,normal,,{R},1,['R'],['R'],Creature — Goblin Berserker,,"['Goblin', 'Berserker']",Common,Haste (This creature can attack and {T} as soon as it comes under your control.),"He raged at the world, at his family, at his life. But mostly he just raged.",Jeff Miracola,224,1,1,,['5cfbcc15-d710-51d0-b0e8-90e66649839e']
Raging Goblin,,normal,,{R},1,['R'],['R'],Creature — Goblin Berserker,,"['Goblin', 'Berserker']",Common,Haste (This creature can attack and {T} as soon as it comes under your control.),"He raged at the world, at his family, at his life. But mostly he just raged.",Jeff Miracola,224★,1,1,,['b91e7385-f4a8-5d1b-ac43-23857284e185']
Relentless Assault,129697,normal,,{2}{R}{R},4,['R'],['R'],Sorcery,,,Rare,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase.","""Mercy? Mercy is for the playground, not the battleground.""",Greg Hildebrandt,225,,,,
Rock Badger,129715,normal,,{4}{R},5,['R'],['R'],Creature — Badger Beast,,"['Badger', 'Beast']",Common,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"""As it charged our keep, I mistook it for a bear. After it tore through our ramparts and half the guard, I wished it had been a bear after all.""
—Ballista guard",Heather Hudson,226,3,3,,['90b87b65-7385-596e-bbea-64fe7dd67ed4']
Rock Badger,,normal,,{4}{R},5,['R'],['R'],Creature — Badger Beast,,"['Badger', 'Beast']",Common,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"""As it charged our keep, I mistook it for a bear. After it tore through our ramparts and half the guard, I wished it had been a bear after all.""
—Ballista guard",Heather Hudson,226★,3,3,,['c371ba25-9ad2-5650-af82-98c534ec327a']
Scoria Wurm,130374,normal,,{4}{R},5,['R'],['R'],Creature — Wurm,,['Wurm'],Rare,"At the beginning of your upkeep, flip a coin. If you lose the flip, return Scoria Wurm to its owner's hand.","Late at night, ululations echo from deep under Shiv, as the wurms sing of times older than humanity.",Steve Firchow,227,7,7,,
Seismic Assault,129884,normal,,{R}{R}{R},3,['R'],['R'],Enchantment,,,Rare,Discard a land card: Seismic Assault deals 2 damage to any target.,Earth arms itself with fire.,Greg Staples,228,,,,
Shatterstorm,130370,normal,,{2}{R}{R},4,['R'],['R'],Sorcery,,,Uncommon,Destroy all artifacts. They can't be regenerated.,From a marvel of magical mechanization to a smoking stack of scrap in one easy step.,Paolo Parente,229,,,,
Shivan Dragon,129730,normal,,{4}{R}{R},6,['R'],['R'],Creature — Dragon,,['Dragon'],Rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{R}: Shivan Dragon gets +1/+0 until end of turn.",The undisputed master of the mountains of Shiv.,Donato Giancola,230,5,5,,['1102852c-8ade-5273-b9a3-4acb8ad97060']
Shivan Dragon,,normal,,{4}{R}{R},6,['R'],['R'],Creature — Dragon,,['Dragon'],Rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{R}: Shivan Dragon gets +1/+0 until end of turn.",The undisputed master of the mountains of Shiv.,Donato Giancola,230★,5,5,,['5f06ccaf-7381-55e6-acb8-99c923d6a3bb']
Shivan Hellkite,130538,normal,,{5}{R}{R},7,['R'],['R'],Creature — Dragon,,['Dragon'],Rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{R}: Shivan Hellkite deals 1 damage to any target.","A dragon's scale can be carved into a mighty shield, provided you can procure a dragontooth to cut it.",Kev Walker,231,5,5,,['12458b60-30cf-5ce8-aa7d-89c8a75575e6']
Shivan Hellkite,,normal,,{5}{R}{R},7,['R'],['R'],Creature — Dragon,,['Dragon'],Rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{R}: Shivan Hellkite deals 1 damage to any target.","A dragon's scale can be carved into a mighty shield, provided you can procure a dragontooth to cut it.",Kev Walker,231★,5,5,,['25634111-8644-5d96-9e23-3b00c2ea0ed5']
Shock,129732,normal,,{R},1,['R'],['R'],Instant,,,Common,Shock deals 2 damage to any target.,,Jon Foster,232,,,,
Shunt,130362,normal,,{1}{R}{R},3,['R'],['R'],Instant,,,Rare,Change the target of target spell with a single target.,"Aranghil held her fury in her heart, hard and bright as a ruby. With its razor edge, she rewrote the laws of battle.",Greg Hildebrandt,233,,,,
Siege-Gang Commander,130539,normal,,{3}{R}{R},5,['R'],['R'],Creature — Goblin,,['Goblin'],Rare,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.
{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target.",,Christopher Moeller,234,2,2,,
Smash,130532,normal,,{2}{R},3,['R'],['R'],Instant,,,Common,"Destroy target artifact.
Draw a card.","Ravnica's laws protect not its citizens but its industry. Aging equipment is destroyed rather than restored, to bring more money into the factories' coffers.",Paolo Parente,235,,,,
Soulblast,130369,normal,,{3}{R}{R}{R},6,['R'],['R'],Instant,,,Rare,"As an additional cost to cast this spell, sacrifice all creatures you control.
Soulblast deals damage to any target equal to the total power of the sacrificed creatures.",,Jim Nelson,236,,,,
Spark Elemental,129577,normal,,{R},1,['R'],['R'],Creature — Elemental,,['Elemental'],Uncommon,"Trample, haste (This creature can deal excess combat damage to the player or planeswalker it's attacking. This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Spark Elemental.",,John Avon,237,3,1,,['e35dd1c6-3d00-5d23-898f-aa07be8e98aa']
Spark Elemental,,normal,,{R},1,['R'],['R'],Creature — Elemental,,['Elemental'],Uncommon,"Trample, haste (This creature can deal excess combat damage to the player or planeswalker it's attacking. This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Spark Elemental.","Vulshok shamans could never keep them alive for more than a few seconds, yet those few seconds seemed to be enough.",John Avon,237★,3,1,,['4798151f-368c-5c06-910b-f0f63c2ec88b']
Spitting Earth,136509,normal,,{1}{R},2,['R'],['R'],Sorcery,,,Common,Spitting Earth deals damage to target creature equal to the number of Mountains you control.,"""Within each of you is the strength of a landslide.""
—Kumano, to his pupils",Michael Koelsch,238,,,,
"Squee, Goblin Nabob",106473,normal,,{2}{R},3,['R'],['R'],Legendary Creature — Goblin,['Legendary'],['Goblin'],Rare,"At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand.","""Some goblins are expendable. Some are impossible to get rid of. But he's both—at the same time!""
—Starke",Greg Staples,239,1,1,,
Stun,134755,normal,,{1}{R},2,['R'],['R'],Instant,,,Common,"Target creature can't block this turn.
Draw a card.","""Fortunately, merfolk aren't used to opponents with feet.""
—Gerrard of the *Weatherlight*",Terese Nielsen,240,,,,
Sudden Impact,129750,normal,,{3}{R},4,['R'],['R'],Instant,,,Uncommon,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.,"""Some say it's better to think before you act. While those people are considering all the options, that's usually when I kill them.""
—Dravus, lava mage",Wayne Reynolds,241,,,,
Threaten,129767,normal,,{2}{R},3,['R'],['R'],Sorcery,,,Uncommon,Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn. (It can attack and {T} this turn.),"Goblins' motivational techniques are crude, but effective.",Pete Venters,242,,,,['e691cb00-dabd-51ec-a678-6227dddb7b80']
Threaten,,normal,,{2}{R},3,['R'],['R'],Sorcery,,,Uncommon,Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn. (It can attack and {T} this turn.),"Goblins' motivational techniques are crude, but effective.",Pete Venters,242★,,,,['de76ac44-6732-54a1-94a0-e87866b58aa0']
Thundering Giant,130381,normal,,{3}{R}{R},5,['R'],['R'],Creature — Giant,,['Giant'],Uncommon,Haste (This creature can attack and {T} as soon as it comes under your control.),The giant was felt a few seconds before he was seen.,Mark Zug,243,4,3,,['a778b5ec-ca7e-5e11-92e0-c1a99b8599cd']
Thundering Giant,,normal,,{3}{R}{R},5,['R'],['R'],Creature — Giant,,['Giant'],Uncommon,Haste (This creature can attack and {T} as soon as it comes under your control.),The giant was felt a few seconds before he was seen.,Mark Zug,243★,4,3,,['e3f6afc6-060e-52e1-b537-3dc8039ca113']
Uncontrollable Anger,134756,normal,,{2}{R}{R},4,['R'],['R'],Enchantment — Aura,,['Aura'],Common,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +2/+2 and attacks each combat if able.",,Kev Walker,244,,,,['61a544c2-1700-500c-b93f-bc292114df3f']
Uncontrollable Anger,,normal,,{2}{R}{R},4,['R'],['R'],Enchantment — Aura,,['Aura'],Common,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +2/+2 and attacks each combat if able.","A barbarian's heart pounds with the fury of a prisoner, threatening at any moment to break the bars of its cage.",Kev Walker,244★,,,,['c2e79d18-b72d-5219-8418-d0e1f71887c0']
Viashino Runner,130531,normal,,{3}{R},4,['R'],['R'],Creature — Viashino,,['Viashino'],Common,Menace (This creature can't be blocked except by two or more creatures.),"""It moved this way, an' that way, an' then before I could stick it, it jumped over my head an' was gone.""
—Jula, goblin raider",Steve White,245,3,2,,
Viashino Sandscout,130387,normal,,{1}{R},2,['R'],['R'],Creature — Viashino Scout,,"['Viashino', 'Scout']",Common,"Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, return Viashino Sandscout to its owner's hand. (Return it only if it's on the battlefield.)",,Scott M. Fischer,246,2,1,,['1b122375-8e96-5a83-969a-2d772eceba4d']
Viashino Sandscout,,normal,,{1}{R},2,['R'],['R'],Creature — Viashino Scout,,"['Viashino', 'Scout']",Common,"Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, return Viashino Sandscout to its owner's hand. (Return it only if it's on the battlefield.)",A viashino's overlapping scales form a buffer against Shiv's ash-flecked winds and a slippery target for goblin pikes.,Scott M. Fischer,246★,2,1,,['1c1fe501-7af9-5df6-9b1e-7187f5445d85']
Wall of Fire,136284,normal,,{1}{R}{R},3,['R'],['R'],Creature — Wall,,['Wall'],Uncommon,"Defender (This creature can't attack.)
{R}: Wall of Fire gets +1/+0 until end of turn.",The erupting flames work as both barrier and weapon.,Dan Dos Santos,247,0,5,,['16342dc0-7314-5c08-a076-eeeb1956b7f3']
Wall of Fire,,normal,,{1}{R}{R},3,['R'],['R'],Creature — Wall,,['Wall'],Uncommon,"Defender (This creature can't attack.)
{R}: Wall of Fire gets +1/+0 until end of turn.",The erupting flames work as both barrier and weapon.,Dan Dos Santos,247★,0,5,,['d2a33bcc-4679-54e9-90ad-1387ff8716e2']
Warp World,130364,normal,,{5}{R}{R}{R},8,['R'],['R'],Sorcery,,,Rare,"Each player shuffles all permanents they own into their library, then reveals that many cards from the top of their library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of their library.",,Ron Spencer,248,,,,
Abundance,130483,normal,,{2}{G}{G},4,['G'],['G'],Enchantment,,,Rare,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",,Rebecca Guay,249,,,,
Aggressive Urge,130525,normal,,{1}{G},2,['G'],['G'],Instant,,,Common,"Target creature gets +1/+1 until end of turn.
Draw a card.","The power of the wild, concentrated in a single charge.",Christopher Moeller,250,,,,
Avatar of Might,135249,normal,,{6}{G}{G},8,['G'],['G'],Creature — Avatar,,['Avatar'],Rare,"If an opponent controls at least four more creatures than you, this spell costs {6} less to cast.
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",,rk post,251,8,8,,['a5e37da8-d36c-5bcb-945d-7be448ddc7ba']
Avatar of Might,,normal,,{6}{G}{G},8,['G'],['G'],Creature — Avatar,,['Avatar'],Rare,"If an opponent controls at least four more creatures than you, this spell costs {6} less to cast.
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)","In their most desperate hour, the elves of Llanowar had one song left to sing.",rk post,251★,8,8,,['b1c3860c-0def-5059-b183-d76ba9a1c93a']
Birds of Paradise,129906,normal,,{G},1,['G'],['G'],Creature — Bird,,['Bird'],Rare,"Flying
{T}: Add one mana of any color.",,Marcelo Vignali,252,0,1,,['22578321-9dba-5729-ade5-69c7b61f77fa']
Birds of Paradise,,normal,,{G},1,['G'],['G'],Creature — Bird,,['Bird'],Rare,"Flying
{T}: Add one mana of any color.",,Marcelo Vignali,252★,0,1,,['28e56ac7-6a09-5118-9ade-6755b051bc0b']
Blanchwood Armor,135267,normal,,{2}{G},3,['G'],['G'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control.",,Paolo Parente,253,,,,['062e0ec2-391d-5394-a5d6-04dbc467751f']
